dataset,parent_id,parent_value,family,component,with_mean,with_median,with_std,without_mean,without_median,without_std,count_with,count_without
glass,6d121374-c4ed-4823-a4ae-d1962a17f714,0.7344444444444445,0,"robustScaler(False,True)",0.6940740740740741,0.6940740740740741,0.0,0.7107407407407408,0.7107407407407408,0.01666666666666672,1,2
glass,6d121374-c4ed-4823-a4ae-d1962a17f714,0.7344444444444445,1,maxAbsScaler(),0.7274074074074075,0.7274074074074075,0.0,0.6940740740740741,0.6940740740740741,0.0,1,2
glass,6d121374-c4ed-4823-a4ae-d1962a17f714,0.7344444444444445,2,"adaBoost(decisionTree('gini',30,13,0.4696825500624089,6,'balanced'),100,0.18319801053226842,'SAMME')",0.7051851851851852,0.6940740740740741,0.015713484026367772,,,,3,0
