dataset,parent_id,parent_value,family,component,with_mean,with_median,with_std,without_mean,without_median,without_std,count_with,count_without
waveform,03c3446a-4445-4232-a82e-5e0c5c3b5a10,0.8620421999575318,0,selectFwe(0.008149243367439525),0.8430529898379027,0.8430529898379027,0.0,0.8475633202950421,0.8475633202950421,0.0007683173252542308,1,2
waveform,03c3446a-4445-4232-a82e-5e0c5c3b5a10,0.8620421999575318,1,"pca(0.9084404361409524,False)",0.8483316376202963,0.8483316376202963,0.0,0.8449239964038453,0.8449239964038453,0.001871006565942579,1,2
waveform,03c3446a-4445-4232-a82e-5e0c5c3b5a10,0.8620421999575318,2,"adaBoost(decisionTree('gini',29,12,0.7206772713715515,16,'None'),59,1.069293662410957,'SAMME')",0.8460598768093289,0.8467950029697878,0.002216805277343284,,,,3,0
waveform,bc1f075d-c584-4902-a45a-2de3f77805ee,0.8700196053038696,0,"pca(0.9084404361409524,True)",0.8682157803490087,0.8682157803490087,0.0,0.8683627846590728,0.8683627846590728,0.002102355172173609,1,2
waveform,bc1f075d-c584-4902-a45a-2de3f77805ee,0.8700196053038696,1,selectFwe(0.016135794773004558),0.8662604294868992,0.8662604294868992,0.0,0.8693404600901276,0.8693404600901276,0.0011246797411188503,1,2
waveform,bc1f075d-c584-4902-a45a-2de3f77805ee,0.8700196053038696,2,"logisticRegression('l2','lbfgs',1000,13.95242046373653,'None')",0.8683137832223847,0.8682157803490087,0.0017179640454828302,,,,3,0
